"year","count","mean.price.min","mean.price.max","median.min","median.max","sd.min","sd.max"
1858-01-01,1,8,9,8,9,NA,NA
1859-01-01,1,16,18,16,18,NA,NA
1860-01-01,2,16,18,16,18,0,0
1876-01-01,1,20,22.2222222222222,20,22.2222222222222,NA,NA
1878-01-01,3,12,19.6,10,19.6,11.13552872566,7.91959594928933
1879-01-01,1,55,NA,55,NA,NA,NA
1882-01-01,2,12,14,12,14,0,0
1883-01-01,3,11.6666666666667,11.6666666666667,12,12,0.577350269189626,2.51661147842358
1884-01-01,1,11,13,11,13,NA,NA
1885-01-01,3,15.3333333333333,9,14,9,2.3094010767585,0
1886-01-01,3,17.3333333333333,17.5,18,17.5,3.05505046330389,12.0208152801713
1887-01-01,2,11,17.5,11,17.5,0,6.36396103067893
1888-01-01,3,9.66666666666667,NA,9,NA,1.15470053837925,NA
1889-01-01,1,7,NA,7,NA,NA,NA
1890-01-01,2,8,NA,8,NA,1.4142135623731,NA
1901-01-01,1,20,NA,20,NA,NA,NA
1902-01-01,1,11,NA,11,NA,NA,NA
1908-01-01,1,17.7777777777778,19.5555555555556,17.7777777777778,19.5555555555556,NA,NA
1909-01-01,1,5.5,6,5.5,6,NA,NA
1910-01-01,39,22.7635327635328,25.0526315789474,24,25.5,6.25618236071016,3.09487255486679
1911-01-01,13,19.9230769230769,22.8333333333333,20,22,1.18754217199071,2.48022481874429
1913-01-01,1,10,11.5,10,11.5,NA,NA
1914-01-01,3,20,NA,20,NA,2,NA
1915-01-01,1,14,18,14,18,NA,NA
1918-01-01,2,190,NA,190,NA,70.7106781186548,NA
