"quarter","count","mean.price.min","mean.price.max","median.min","median.max","sd.min","sd.max"
1858-04-01,1,8,9,8,9,NA,NA
1859-10-01,1,16,18,16,18,NA,NA
1860-01-01,2,16,18,16,18,0,0
1876-01-01,1,20,22.2222222222222,20,22.2222222222222,NA,NA
1878-01-01,2,17,19.6,17,19.6,9.89949493661167,7.91959594928933
1878-04-01,1,8,NA,8,NA,NA,NA
1879-01-01,1,55,NA,55,NA,NA,NA
1882-01-01,2,12,14,12,14,0,0
1883-01-01,1,12,9,12,9,NA,NA
1883-07-01,1,12,14,12,14,NA,NA
1883-10-01,1,11,12,11,12,NA,NA
1884-01-01,1,11,13,11,13,NA,NA
1885-01-01,3,15.3333333333333,9,14,9,2.3094010767585,0
1886-01-01,3,17.3333333333333,17.5,18,17.5,3.05505046330389,12.0208152801713
1887-01-01,1,11,22,11,22,NA,NA
1887-07-01,1,11,13,11,13,NA,NA
1888-01-01,3,9.66666666666667,NA,9,NA,1.15470053837925,NA
1889-01-01,1,7,NA,7,NA,NA,NA
1890-01-01,2,8,NA,8,NA,1.4142135623731,NA
1901-04-01,1,20,NA,20,NA,NA,NA
1902-01-01,1,11,NA,11,NA,NA,NA
1908-07-01,1,13.3333333333333,14.6666666666667,13.3333333333333,14.6666666666667,NA,NA
1909-07-01,1,5.5,6,5.5,6,NA,NA
1910-01-01,1,57.7777777777778,NA,57.7777777777778,NA,NA,NA
1910-04-01,19,24.0526315789474,28,24,28,0.229415733870562,0
1910-07-01,8,19.75,22.375,20,22.5,0.462910049886276,0.231455024943138
1910-10-01,11,19.5454545454545,21.9090909090909,21,23,2.01809991643805,1.51357493732854
1911-04-01,5,20.2,21.6,21,22,1.78885438199983,0.894427190999916
1911-07-01,1,18,NA,18,NA,NA,NA
1911-10-01,7,20,23.7142857142857,20,22,0,2.9277002188456
1913-10-01,1,10,11.5,10,11.5,NA,NA
1914-04-01,3,20,NA,20,NA,2,NA
1915-01-01,1,14,18,14,18,NA,NA
1918-01-01,2,190,NA,190,NA,70.7106781186548,NA
