"quarter","count","mean.2","mean.3","median.2","median.3","sd.2","sd.3"
1858-01-01,3,12,NA,13,NA,2.64575131106459,NA
1858-04-01,2,13.5,17.5,13.5,17.5,4.94974746830583,6.36396103067893
1858-07-01,1,15,20,15,20,NA,NA
1858-10-01,1,18,23,18,23,NA,NA
1859-10-01,4,31.75,33.25,30.5,31.5,4.3493294502333,4.57347424467075
1860-01-01,9,30.8444444444444,33.25,30,31.5,4.64411216248895,4.23421438150827
1872-01-01,3,20,25,20,25,0,NA
1876-01-01,2,61.1111111111111,57.7777777777778,61.1111111111111,57.7777777777778,14.142135623731,NA
1877-10-01,5,39.4,45,40,45,2.60768096208106,4.24264068711928
1878-01-01,5,43.44,43,43.2,45,10.8059243010489,6.2449979983984
1878-04-01,4,42.25,25,38.5,25,20.271079563424,NA
1878-10-01,1,35,NA,35,NA,NA,NA
1879-01-01,3,65,80,70,80,13.228756555323,NA
1879-04-01,1,27,NA,27,NA,NA,NA
1879-07-01,1,40,NA,40,NA,NA,NA
1879-10-01,3,43.3333333333333,NA,40,NA,5.77350269189626,NA
1880-01-01,9,89.4814811111111,NA,60,NA,117.726391015537,NA
1880-04-01,2,360,NA,360,NA,480.832611206852,NA
1881-01-01,1,29,NA,29,NA,NA,NA
1882-01-01,3,21.6666666666667,NA,23,NA,4.16333199893227,NA
1882-10-01,1,23,NA,23,NA,NA,NA
1883-01-01,1,20,NA,20,NA,NA,NA
1883-07-01,2,21.5,24,21.5,24,2.12132034355964,NA
1883-10-01,3,18,22,17,22,3.60555127546399,2.82842712474619
1884-01-01,1,15,20,15,20,NA,NA
1884-07-01,2,11,NA,11,NA,12.7279220613579,NA
1885-01-01,4,28.75,20,25,20,14.8856754409511,0
1885-04-01,1,24,NA,24,NA,NA,NA
1886-01-01,4,30,37.6666666666667,34,45,8.71779788708135,15.3731367434669
1886-04-01,1,75.5555555555556,80,75.5555555555556,80,NA,NA
1887-01-01,2,26,20,26,20,12.7279220613579,NA
1887-07-01,1,20,30,20,30,NA,NA
1888-01-01,3,20.6666666666667,NA,20,NA,1.15470053837925,NA
1889-01-01,1,16,NA,16,NA,NA,NA
1889-10-01,1,20,NA,20,NA,NA,NA
1890-01-01,2,18,NA,18,NA,2.82842712474619,NA
1890-04-01,1,25,NA,25,NA,NA,NA
1890-07-01,1,25,NA,25,NA,NA,NA
1890-10-01,3,24.6666666666667,26,25,26,0.577350269189626,NA
1891-01-01,1,22,24,22,24,NA,NA
1891-04-01,6,31,36.5,34,36.5,6.38748776906852,4.94974746830583
1892-01-01,1,28,31,28,31,NA,NA
1898-04-01,7,35.1428571428571,NA,35,NA,6.96248450455658,NA
1898-07-01,1,42,NA,42,NA,NA,NA
1898-10-01,1,38,NA,38,NA,NA,NA
1901-04-01,1,40,NA,40,NA,NA,NA
1901-07-01,2,29,NA,29,NA,2.82842712474619,NA
1902-01-01,1,22,28,22,28,NA,NA
1904-07-01,1,30,NA,30,NA,NA,NA
1905-10-01,1,23,NA,23,NA,NA,NA
1906-07-01,2,4.25,NA,4.25,NA,1.06066017177982,NA
1908-07-01,7,47.8253968253968,52.6984126984127,49.7777777777778,56.8888888888889,12.5296121910396,10.1692901463735
1908-10-01,2,8.5,NA,8.5,NA,0.707106781186548,NA
1909-01-01,1,45,50,45,50,NA,NA
1909-04-01,2,31.5,NA,31.5,NA,27.5771644662754,NA
1909-07-01,1,10,9,10,9,NA,NA
1910-01-01,2,75.7777777777778,NA,75.7777777777778,NA,27.9700015669345,NA
1910-04-01,26,44.4401709401709,58.7866666666667,45,55,8.79480659150366,10.1295578574206
1910-07-01,31,42.4516129032258,46.6521739130435,43,48.5,9.88210068651876,7.65066067053376
1910-10-01,22,43.5454545454545,46.6818181818182,43.5,47.5,2.5397276330773,2.62563123723409
1911-04-01,24,43.25,44.5666666666667,42,44,3.37187858876789,1.69943968357081
1911-07-01,1,30,36,30,36,NA,NA
1911-10-01,9,40.5555555555556,43.625,42,44,2.87711275027201,2.82526863450944
1912-01-01,3,35.6666666666667,42,37,42,5.13160143944688,NA
1912-04-01,1,37,38,37,38,NA,NA
1912-07-01,1,36,42,36,42,NA,NA
1913-01-01,5,63.4,65.5,60,65,14.6389890361322,11.4455231422596
1913-04-01,1,55,80,55,80,NA,NA
1913-10-01,2,17,20,17,20,2.82842712474619,2.82842712474619
1914-01-01,3,37.6666666666667,45,40,45,4.04145188432738,NA
1914-04-01,3,43,NA,43,NA,1,NA
1914-10-01,1,1,NA,1,NA,NA,NA
1915-01-01,1,38,44,38,44,NA,NA
1915-04-01,6,42.0833333333333,45,41.25,45,3.67990036096994,3.53553390593274
1915-07-01,3,35,37.5,35,37.5,2.5,2.5
1915-10-01,3,49.3333333333333,NA,49.5,NA,1.75594229214212,NA
1916-04-01,3,9.66666666666667,NA,10,NA,0.577350269189626,NA
1917-01-01,2,249,450,249,450,156.977705423414,NA
1917-07-01,4,261.527777777778,145,156.388888888889,145,273.94142498167,NA
1918-01-01,13,421.923076923077,545,440,545,174.93496960226,NA
1918-04-01,3,376.666666666667,NA,350,NA,360.739980225832,NA
